t              x              y
    0               1               0
1e-005     0.999999998 -9.110618695e-005
2e-005    0.9999999921 -0.0001822123735
3e-005    0.9999999822 -0.0002733185594
4e-005    0.9999999684 -0.0003644247442
5e-005    0.9999999507 -0.0004555309276
6e-005    0.9999999289 -0.0005466371091
7e-005    0.9999999033 -0.0006377432885
8e-005    0.9999998737 -0.0007288494654
9e-005    0.9999998401 -0.0008199556394
0.0001    0.9999998026 -0.0009110618102
0.00011    0.9999997612 -0.001002167977
0.00012    0.9999997158 -0.001093274141
0.00013    0.9999996664 -0.001184380299
0.00014    0.9999996131 -0.001275486454
0.00015    0.9999995559 -0.001366592603
0.00016    0.9999994947 -0.001457698747
0.00017    0.9999994295 -0.001548804885
0.00018    0.9999993604 -0.001639911017
0.00019    0.9999992874 -0.001731017142
0.0002    0.9999992104 -0.001822123261
0.00021    0.9999991295 -0.001913229372
0.00022    0.9999990446 -0.002004335476
0.00023    0.9999989558 -0.002095441572
0.00024     0.999998863  -0.00218654766
0.00025    0.9999987663 -0.002277653739
0.00026    0.9999986656 -0.002368759809
0.00027     0.999998561 -0.002459865869
0.00028    0.9999984524  -0.00255097192
0.00029    0.9999983399 -0.002642077961
0.0003    0.9999982235 -0.002733183992
0.00031    0.9999981031 -0.002824290012
0.00032    0.9999979787  -0.00291539602
0.00033    0.9999978504 -0.003006502017
0.00034    0.9999977182 -0.003097608002
0.00035     0.999997582 -0.003188713975
0.00036    0.9999974418 -0.003279819936
0.00037    0.9999972977 -0.003370925883
0.00038    0.9999971497 -0.003462031817
0.00039    0.9999969977 -0.003553137738
0.0004    0.9999968417 -0.003644243644
0.00041    0.9999966818 -0.003735349536
0.00042     0.999996518 -0.003826455413
0.00043    0.9999963502 -0.003917561276
0.00044    0.9999961785 -0.004008667122
0.00045    0.9999960028 -0.004099772953
0.00046    0.9999958232 -0.004190878768
0.00047    0.9999956396 -0.004281984566
0.00048    0.9999954521 -0.004373090347
0.00049    0.9999952606 -0.004464196111
0.0005    0.9999950652 -0.004555301858
0.00051    0.9999948659 -0.004646407586
0.00052    0.9999946625 -0.004737513296
0.00053    0.9999944553 -0.004828618987
0.00054    0.9999942441  -0.00491972466
0.00055    0.9999940289 -0.005010830312
0.00056    0.9999938098 -0.005101935945
0.00057    0.9999935868 -0.005193041558
0.00058    0.9999933598 -0.005284147151
0.00059    0.9999931288 -0.005375252722
0.0006    0.9999928939 -0.005466358273
0.00061    0.9999926551 -0.005557463801
0.00062    0.9999924123 -0.005648569308
0.00063    0.9999921656 -0.005739674793
0.00064    0.9999919149 -0.005830780255
0.00065    0.9999916602 -0.005921885694
0.00066    0.9999914017 -0.006012991109
0.00067    0.9999911391 -0.006104096501
0.00068    0.9999908726 -0.006195201868
0.00069    0.9999906022 -0.006286307212
0.0007    0.9999903279  -0.00637741253
0.00071    0.9999900495 -0.006468517823
0.00072    0.9999897673 -0.006559623091
0.00073    0.9999894811 -0.006650728332
0.00074    0.9999891909 -0.006741833548
0.00075    0.9999888968 -0.006832938737
0.00076    0.9999885987 -0.006924043899
0.00077    0.9999882967 -0.007015149033
0.00078    0.9999879908  -0.00710625414
0.00079    0.9999876809 -0.007197359219
0.0008     0.999987367 -0.007288464269
0.00081    0.9999870492 -0.007379569291
0.00082    0.9999867275 -0.007470674284
0.00083    0.9999864018 -0.007561779247
0.00084    0.9999860722  -0.00765288418
0.00085    0.9999857386 -0.007743989083
0.00086     0.999985401 -0.007835093955
0.00087    0.9999850596 -0.007926198797
0.00088    0.9999847141 -0.008017303607
0.00089    0.9999843647 -0.008108408385
0.0009    0.9999840114 -0.008199513132
0.00091    0.9999836541 -0.008290617846
0.00092    0.9999832929 -0.008381722527
0.00093    0.9999829278 -0.008472827176
0.00094    0.9999825586 -0.008563931791
0.00095    0.9999821856 -0.008655036372
0.00096    0.9999818086 -0.008746140918
0.00097    0.9999814276 -0.008837245431
0.00098    0.9999810427 -0.008928349908
0.00099    0.9999806539 -0.009019454351
0.001    0.9999802611 -0.009110558757
0.00101    0.9999798643 -0.009201663128
0.00102    0.9999794636 -0.009292767462
0.00103     0.999979059  -0.00938387176
0.00104    0.9999786504 -0.009474976021
0.00105    0.9999782379 -0.009566080244
0.00106    0.9999778214 -0.009657184429
0.00107    0.9999774009 -0.009748288577
0.00108    0.9999769766 -0.009839392685
0.00109    0.9999765482 -0.009930496755
0.0011     0.999976116  -0.01002160079
0.00111    0.9999756797  -0.01011270478
