t              x              y
    0               1               0
    0               1 0.0006283185307
    0    0.9999996052  0.001256637061
    0    0.9999988156  0.001884955344
0.0004    0.9999976313  0.002513273131
    0    0.9999960522  0.003141590173
    0    0.9999940782  0.003769906223
    0    0.9999917095  0.004398221033
    0    0.9999889461  0.005026534355
    0    0.9999857878   0.00565484594
    0    0.9999822348  0.006283155541
    0     0.999978287   0.00691146291
    0    0.9999739444  0.007539767798
    0     0.999969207  0.008168069957
    0    0.9999640749   0.00879636914
    0     0.999958548  0.009424665099
    0    0.9999526263   0.01005295758
    0    0.9999463099   0.01068124635
    0    0.9999395987   0.01130953115
    0    0.9999324927   0.01193781173
    0     0.999924992   0.01256608784
    0    0.9999170966   0.01319435924
    0    0.9999088064   0.01382262568
    0    0.9999001214   0.01445088692
    0    0.9998910417   0.01507914269
    0    0.9998815673   0.01570739276
    0    0.9998716981   0.01633563688
    0    0.9998614342    0.0169638748
    0    0.9998507755   0.01759210626
    0    0.9998397222   0.01822033103
    0    0.9998282741   0.01884854886
    0    0.9998164313   0.01947675949
    0    0.9998041938   0.02010496268
    0    0.9997915616   0.02073315819
    0    0.9997785347   0.02136134575
    0    0.9997651131   0.02198952513
    0    0.9997512968   0.02261769608
    0    0.9997370858   0.02324585835
    0    0.9997224802   0.02387401169
    0    0.9997074799   0.02450215585
    0    0.9996920849   0.02513029059
    0    0.9996762953   0.02575841565
    0     0.999660111   0.02638653079
    0     0.999643532   0.02701463577
    0    0.9996265584   0.02764273032
    0    0.9996091902   0.02827081422
    0    0.9995914274    0.0288988872
    0    0.9995732699   0.02952694901
    0    0.9995547178   0.03015499943
    0    0.9995357711   0.03078303818
    0    0.9995164299   0.03141106503
    0     0.999496694   0.03203907973
    0    0.9994765635   0.03266708202
    0    0.9994560385   0.03329507167
    0    0.9994351189   0.03392304843
    0    0.9994138048   0.03455101204
    0    0.9993920961   0.03517896225
    0    0.9993699929   0.03580689883
    0    0.9993474951   0.03643482152
    0    0.9993246028   0.03706273008
    0     0.999301316   0.03769062425
    0    0.9992776347   0.03831850379
    0    0.9992535589   0.03894636845
    0    0.9992290886   0.03957421798
    0    0.9992042239   0.04020205214
    0    0.9991789646   0.04082987068
    0     0.999153311   0.04145767334
    0    0.9991272628   0.04208545989
    0    0.9991008203   0.04271323007
    0    0.9990739833   0.04334098364
    0    0.9990467519   0.04396872034
    0    0.9990191261   0.04459643994
    0    0.9989911059   0.04522414218
    0    0.9989626914   0.04585182681
    0    0.9989338824   0.04647949359
    0    0.9989046791   0.04710714227
    0    0.9988750815    0.0477347726
    0    0.9988450895   0.04836238434
