t              x              y
    0               1               0
 0.01               1   0.06283185307
    0    0.9960521582    0.1256637061
    0    0.9881797381    0.1882489707
    0     0.976421268    0.2503439643
    0    0.9608304446    0.3117088917
    0    0.9414759546    0.3721088553
    0    0.9184412097    0.4313148849
    0    0.8918239861     0.489104976
    0    0.8617359647    0.5452651241
    0    0.8283021682    0.5995903415
    0     0.791660295    0.6518856421
    0    0.7519599499    0.7019669798
    0    0.7093617767    0.7496621268
    0     0.664036498    0.7948114758
    0    0.6161638702    0.8372687555
    0    0.5659315649    0.8769016441
    0    0.5135339891    0.9135922743
    0    0.4591710572    0.9472376175
    0    0.4030469316    0.9777497446
    0    0.3453687471     1.005055957
    0    0.2863453358     1.029098791
    0    0.2261859691     1.049835886
    0    0.1650991328      1.06723974
    0    0.1032913497      1.08129734
    0   0.04096606416     1.092009682
    0   -0.0216773998     1.099391198
    0  -0.08444479716      1.10346909
    0   -0.1471478285     1.104282593
    0    -0.209604909     1.101882172
    0   -0.2716418366     1.096328681
    0   -0.3330923567     1.087692476
    0   -0.3937986242     1.076052515
    0   -0.4536115653     1.061495453
    0   -0.5123911419     1.044114728
    0   -0.5700065243     1.024009675
    0    -0.626336178     1.001284654
    0   -0.6812678708    0.9760482134
    0   -0.7346986089      0.94841229
    0   -0.7865345087    0.9184914518
    0   -0.8366906128    0.8864021884
    0   -0.8850906572    0.8522622513
    0   -0.9316667991    0.8161900452
    0   -0.9763593102    0.7783040731
    0    -1.019116244    0.7387224317
    0    -1.059893085    0.6975623602
    0    -1.098652378    0.6549398378
    0    -1.135363357    0.6109692298
    0    -1.170001563    0.5657629792
    0    -1.202548464    0.5194313416
    0    -1.232991078    0.4720821602
    0    -1.261321602    0.4238206784
    0    -1.287537052    0.3747493865
    0    -1.311638911       0.3249679
    0     -1.33363279    0.2745728667
    0    -1.353528103    0.2236578987
    0    -1.371337757    0.1723135283
    0     -1.38707786    0.1206271837
    0    -1.400767434   0.06868318285
    0    -1.412428159   0.01656274317
    0     -1.42208412  -0.03565599519
    0    -1.429761574  -0.08789793438
    0    -1.435488736   -0.1400909738
    0    -1.439295571   -0.1921659566
    0     -1.44121361   -0.2440566097
    0    -1.441275771   -0.2956994772
    0    -1.439516198   -0.3470338504
    0    -1.435970112   -0.3980016937
    0    -1.430673675   -0.4485475678
    0    -1.423663857   -0.4986185516
    0    -1.414978327   -0.5481641629
    0    -1.404655342   -0.5971362782
    0    -1.392733652   -0.6454890535
    0    -1.379252411   -0.6931788446
    0    -1.364251097   -0.7401641287
    0    -1.347769439   -0.7864054275
    0     -1.32984735   -0.8318652316
    0     -1.31052487   -0.8765079261
    0     -1.28984211   -0.9202997191
    0    -1.267839207   -0.9632085713
    0    -1.244556279    -1.005204128
    0    -1.220033387    -1.046257654
    0    -1.194310504     -1.08634197
    0    -1.167427481     -1.12543139
    0    -1.139424023    -1.163501667
    0    -1.110339669     -1.20052993
    0    -1.080213767    -1.236494636
    0    -1.049085462    -1.271375515
    0    -1.016993676    -1.305153522
    0   -0.9839771037     -1.33781079
    0   -0.9500741942    -1.369330581
    0   -0.9153231488    -1.399697251
    0   -0.8797619122    -1.428896202
    0   -0.8434281679    -1.456913847
    0   -0.8063593355    -1.483737573
    0   -0.7685925678    -1.509355705
    0     -0.73016475    -1.533757475
    0   -0.6911125001     -1.55693299
    0   -0.6514721693    -1.578873204
    0   -0.6112798437    -1.599569889
