t              x              y
    0               1               0
1e-005     0.999999998 -8.482300165e-005
2e-005    0.9999999921 -0.000169646003
3e-005    0.9999999822 -0.0002544690036
4e-005    0.9999999684 -0.0003392920032
5e-005    0.9999999507 -0.0004241150015
6e-005    0.9999999289 -0.0005089379982
7e-005    0.9999999033 -0.0005937609928
8e-005    0.9999998737 -0.000678583985
9e-005    0.9999998401 -0.0007634069746
0.0001    0.9999998026 -0.0008482299612
0.00011    0.9999997612 -0.0009330529444
0.00012    0.9999997158 -0.001017875924
0.00013    0.9999996664   -0.0011026989
0.00014    0.9999996131 -0.001187521871
0.00015    0.9999995559 -0.001272344837
0.00016    0.9999994947 -0.001357167799
0.00017    0.9999994295 -0.001441990755
0.00018    0.9999993604 -0.001526813705
0.00019    0.9999992874  -0.00161163665
0.0002    0.9999992104 -0.001696459588
0.00021    0.9999991295 -0.001781282519
0.00022    0.9999990446 -0.001866105443
0.00023    0.9999989558  -0.00195092836
0.00024     0.999998863 -0.002035751269
0.00025    0.9999987663 -0.002120574171
0.00026    0.9999986656 -0.002205397063
0.00027     0.999998561 -0.002290219947
0.00028    0.9999984524 -0.002375042823
0.00029    0.9999983399 -0.002459865688
0.0003    0.9999982235 -0.002544688544
0.00031    0.9999981031  -0.00262951139
0.00032    0.9999979787 -0.002714334226
0.00033    0.9999978504 -0.002799157051
0.00034    0.9999977182 -0.002883979864
0.00035     0.999997582 -0.002968802667
0.00036    0.9999974418 -0.003053625457
0.00037    0.9999972977 -0.003138448236
0.00038    0.9999971497 -0.003223271002
0.00039    0.9999969977 -0.003308093756
0.0004    0.9999968417 -0.003392916496
0.00041    0.9999966818 -0.003477739223
0.00042     0.999996518 -0.003562561937
0.00043    0.9999963502 -0.003647384636
0.00044    0.9999961785 -0.003732207321
0.00045    0.9999960028 -0.003817029991
0.00046    0.9999958232 -0.003901852646
0.00047    0.9999956396 -0.003986675286
0.00048    0.9999954521 -0.004071497909
0.00049    0.9999952606 -0.004156320517
0.0005    0.9999950652 -0.004241143109
0.00051    0.9999948658 -0.004325965683
0.00052    0.9999946625 -0.004410788241
0.00053    0.9999944553 -0.004495610781
0.00054    0.9999942441 -0.004580433304
0.00055    0.9999940289 -0.004665255808
0.00056    0.9999938098 -0.004750078294
0.00057    0.9999935868 -0.004834900761
0.00058    0.9999933598 -0.004919723209
0.00059    0.9999931288 -0.005004545638
0.0006    0.9999928939 -0.005089368047
0.00061    0.9999926551 -0.005174190436
0.00062    0.9999924123 -0.005259012804
0.00063    0.9999921655 -0.005343835152
0.00064    0.9999919149 -0.005428657478
0.00065    0.9999916602 -0.005513479784
0.00066    0.9999914016 -0.005598302067
0.00067    0.9999911391 -0.005683124328
0.00068    0.9999908726 -0.005767946567
0.00069    0.9999906022 -0.005852768783
0.0007    0.9999903278 -0.005937590976
0.00071    0.9999900495 -0.006022413146
0.00072    0.9999897673 -0.006107235291
0.00073     0.999989481 -0.006192057413
0.00074    0.9999891909  -0.00627687951
0.00075    0.9999888968 -0.006361701583
0.00076    0.9999885987  -0.00644652363
0.00077    0.9999882967 -0.006531345652
0.00078    0.9999879907 -0.006616167648
0.00079    0.9999876808 -0.006700989618
0.0008     0.999987367 -0.006785811561
0.00081    0.9999870492 -0.006870633478
0.00082    0.9999867275 -0.006955455367
0.00083    0.9999864018  -0.00704027723
0.00084    0.9999860721 -0.007125099064
0.00085    0.9999857385  -0.00720992087
