t              x              y
    0               1               0
1e-005     0.999999998 -8.79645943e-005
2e-005    0.9999999921 -0.0001759291883
3e-005    0.9999999822 -0.0002638937815
4e-005    0.9999999684 -0.0003518583737
5e-005    0.9999999507 -0.0004398229646
6e-005    0.9999999289 -0.0005277875536
7e-005    0.9999999033 -0.0006157521407
8e-005    0.9999998737 -0.0007037167252
9e-005    0.9999998401 -0.000791681307
0.0001    0.9999998026 -0.0008796458857
0.00011    0.9999997612 -0.0009676104609
0.00012    0.9999997158 -0.001055575032
0.00013    0.9999996664   -0.0011435396
0.00014    0.9999996131 -0.001231504162
0.00015    0.9999995559  -0.00131946872
0.00016    0.9999994947 -0.001407433273
0.00017    0.9999994295  -0.00149539782
0.00018    0.9999993604 -0.001583362361
0.00019    0.9999992874 -0.001671326896
0.0002    0.9999992104 -0.001759291424
0.00021    0.9999991295 -0.001847255946
0.00022    0.9999990446  -0.00193522046
0.00023    0.9999989558 -0.002023184966
0.00024     0.999998863 -0.002111149464
0.00025    0.9999987663 -0.002199113955
0.00026    0.9999986656 -0.002287078436
0.00027     0.999998561 -0.002375042908
0.00028    0.9999984524 -0.002463007371
0.00029    0.9999983399 -0.002550971825
0.0003    0.9999982235 -0.002638936268
0.00031    0.9999981031 -0.002726900701
0.00032    0.9999979787 -0.002814865123
0.00033    0.9999978504 -0.002902829534
0.00034    0.9999977182 -0.002990793933
0.00035     0.999997582 -0.003078758321
0.00036    0.9999974418 -0.003166722697
0.00037    0.9999972977  -0.00325468706
0.00038    0.9999971497  -0.00334265141
0.00039    0.9999969977 -0.003430615747
0.0004    0.9999968417  -0.00351858007
0.00041    0.9999966818  -0.00360654438
0.00042     0.999996518 -0.003694508675
0.00043    0.9999963502 -0.003782472956
0.00044    0.9999961785 -0.003870437221
0.00045    0.9999960028 -0.003958401472
0.00046    0.9999958232 -0.004046365707
0.00047    0.9999956396 -0.004134329926
0.00048    0.9999954521 -0.004222294128
0.00049    0.9999952606 -0.004310258314
0.0005    0.9999950652 -0.004398222483
0.00051    0.9999948658 -0.004486186635
0.00052    0.9999946625 -0.004574150769
0.00053    0.9999944553 -0.004662114884
0.00054    0.9999942441 -0.004750078982
0.00055    0.9999940289  -0.00483804306
0.00056    0.9999938098  -0.00492600712
0.00057    0.9999935868  -0.00501397116
0.00058    0.9999933598  -0.00510193518
0.00059    0.9999931288  -0.00518989918
0.0006    0.9999928939  -0.00527786316
0.00061    0.9999926551 -0.005365827119
0.00062    0.9999924123 -0.005453791056
0.00063    0.9999921655 -0.005541754972
0.00064    0.9999919149 -0.005629718867
0.00065    0.9999916602 -0.005717682739
0.00066    0.9999914016 -0.005805646588
0.00067    0.9999911391 -0.005893610414
0.00068    0.9999908726 -0.005981574218
0.00069    0.9999906022 -0.006069537997
0.0007    0.9999903278 -0.006157501753
0.00071    0.9999900495 -0.006245465484
0.00072    0.9999897673 -0.006333429191
0.00073     0.999989481 -0.006421392873
0.00074    0.9999891909 -0.006509356529
0.00075    0.9999888968  -0.00659732016
0.00076    0.9999885987 -0.006685283764
0.00077    0.9999882967 -0.006773247342
0.00078    0.9999879908 -0.006861210894
0.00079    0.9999876809 -0.006949174418
0.0008     0.999987367 -0.007037137915
0.00081    0.9999870492 -0.007125101384
0.00082    0.9999867275 -0.007213064826
0.00083    0.9999864018 -0.007301028238
0.00084    0.9999860721 -0.007388991622
0.00085    0.9999857386 -0.007476954976
0.00086     0.999985401 -0.007564918301
0.00087    0.9999850595 -0.007652881597
0.00088    0.9999847141 -0.007740844862
0.00089    0.9999843647 -0.007828808096
0.0009    0.9999840114   -0.0079167713
0.00091    0.9999836541 -0.008004734472
0.00092    0.9999832929 -0.008092697612
0.00093    0.9999829277 -0.008180660721
0.00094    0.9999825586 -0.008268623798
0.00095    0.9999821856 -0.008356586841
0.00096    0.9999818086 -0.008444549852
0.00097    0.9999814276  -0.00853251283
0.00098    0.9999810427 -0.008620475773
0.00099    0.9999806538 -0.008708438683
0.001     0.999980261 -0.008796401559
0.00101    0.9999798643 -0.008884364399
0.00102    0.9999794636 -0.008972327205
0.00103     0.999979059 -0.009060289975
0.00104    0.9999786504 -0.009148252709
0.00105    0.9999782378 -0.009236215408
0.00106    0.9999778213 -0.009324178069
0.00107    0.9999774009 -0.009412140694
0.00108    0.9999769765 -0.009500103282
0.00109    0.9999765482 -0.009588065833
0.0011    0.9999761159 -0.009676028345
0.00111    0.9999756797 -0.009763990819
0.00112    0.9999752395 -0.009851953255
0.00113    0.9999747954 -0.009939915652
0.00114    0.9999743473  -0.01002787801
0.00115    0.9999738953  -0.01011584033
0.00116    0.9999734394  -0.01020380261
0.00117    0.9999729795  -0.01029176484
0.00118    0.9999725156  -0.01037972704
0.00119    0.9999720478   -0.0104676892
0.0012    0.9999715761  -0.01055565131
0.00121    0.9999711004  -0.01064361339
0.00122    0.9999706207  -0.01073157542
0.00123    0.9999701371  -0.01081953741
0.00124    0.9999696496  -0.01090749935
0.00125    0.9999691581  -0.01099546125
0.00126    0.9999686627  -0.01108342311
0.00127    0.9999681633  -0.01117138493
0.00128    0.9999676599   -0.0112593467
0.00129    0.9999671527  -0.01134730843
0.0013    0.9999666414  -0.01143527011
0.00131    0.9999661263  -0.01152323175
0.00132    0.9999656072  -0.01161119334
0.00133    0.9999650841  -0.01169915489
0.00134    0.9999645571  -0.01178711639
0.00135    0.9999640261  -0.01187507784
0.00136    0.9999634912  -0.01196303925
0.00137    0.9999629524  -0.01205100061
0.00138    0.9999624096  -0.01213896192
0.00139    0.9999618628  -0.01222692318
0.0014    0.9999613121   -0.0123148844
0.00141    0.9999607575  -0.01240284556
0.00142    0.9999601989  -0.01249080668
0.00143    0.9999596363  -0.01257876775
0.00144    0.9999590698  -0.01266672877
0.00145    0.9999584994  -0.01275468974
0.00146     0.999957925  -0.01284265066
0.00147    0.9999573467  -0.01293061153
0.00148    0.9999567644  -0.01301857234
0.00149    0.9999561782  -0.01310653311
0.0015     0.999955588  -0.01319449382
0.00151    0.9999549939  -0.01328245448
0.00152    0.9999543959  -0.01337041509
0.00153    0.9999537939  -0.01345837565
0.00154    0.9999531879  -0.01354633615
0.00155     0.999952578   -0.0136342966
0.00156    0.9999519641    -0.013722257
