t              x              y
0.95947    0.9677496308   -0.2519139778
0.95948    0.9677654571   -0.2518531718
0.95949    0.9677812796   -0.2517923648
0.9595    0.9677970982   -0.2517315568
0.95951    0.9678129131   -0.2516707479
0.95952    0.9678287241   -0.2516099379
0.95953    0.9678445313   -0.2515491269
0.95954    0.9678603347   -0.2514883149
0.95955    0.9678761343    -0.251427502
0.95956      0.96789193    -0.251366688
0.95957    0.9679077219   -0.2513058731
0.95958    0.9679235101   -0.2512450572
0.95959    0.9679392943   -0.2511842402
0.9596    0.9679550748   -0.2511234223
0.95961    0.9679708514   -0.2510626034
0.95962    0.9679866243   -0.2510017835
0.95963    0.9680023932   -0.2509409626
0.95964    0.9680181584   -0.2508801408
0.95965    0.9680339198   -0.2508193179
0.95966    0.9680496773    -0.250758494
0.95967     0.968065431   -0.2506976692
0.95968    0.9680811809   -0.2506368433
0.95969     0.968096927   -0.2505760165
0.9597    0.9681126692   -0.2505151887
0.95971    0.9681284076   -0.2504543599
0.95972    0.9681441422   -0.2503935301
0.95973     0.968159873   -0.2503326993
0.95974       0.9681756   -0.2502718675
0.95975    0.9681913231   -0.2502110348
0.95976    0.9682070424    -0.250150201
0.95977    0.9682227579   -0.2500893663
0.95978    0.9682384696   -0.2500285306
0.95979    0.9682541774   -0.2499676939
0.9598    0.9682698814   -0.2499068562
0.95981    0.9682855816   -0.2498460175
0.95982     0.968301278   -0.2497851778
0.95983    0.9683169706   -0.2497243371
0.95984    0.9683326593   -0.2496634955
0.95985    0.9683483442   -0.2496026529
0.95986    0.9683640253   -0.2495418093
0.95987    0.9683797026   -0.2494809647
0.95988     0.968395376   -0.2494201191
0.95989    0.9684110456   -0.2493592725
0.9599    0.9684267114    -0.249298425
0.95991    0.9684423734   -0.2492375764
0.95992    0.9684580315   -0.2491767269
0.95993    0.9684736859   -0.2491158764
0.95994    0.9684893364   -0.2490550249
0.95995     0.968504983   -0.2489941724
0.95996    0.9685206259    -0.248933319
0.95997    0.9685362649   -0.2488724645
0.95998    0.9685519001   -0.2488116091
0.95999    0.9685675315   -0.2487507527
 0.96    0.9685831591   -0.2486898953
0.96001    0.9685987828    -0.248629037
0.96002    0.9686144027   -0.2485681776
0.96003    0.9686300188   -0.2485073173
0.96004    0.9686456311    -0.248446456
0.96005    0.9686612395   -0.2483855937
0.96006    0.9686768441   -0.2483247304
0.96007    0.9686924449   -0.2482638662
0.96008    0.9687080419   -0.2482030009
0.96009     0.968723635   -0.2481421347
0.9601    0.9687392243   -0.2480812675
0.96011    0.9687548098   -0.2480203994
0.96012    0.9687703915   -0.2479595302
0.96013    0.9687859693   -0.2478986601
0.96014    0.9688015434    -0.247837789
0.96015    0.9688171136   -0.2477769169
0.96016    0.9688326799   -0.2477160438
0.96017    0.9688482425   -0.2476551698
0.96018    0.9688638012   -0.2475942948
0.96019    0.9688793561   -0.2475334188
0.9602    0.9688949072   -0.2474725418
0.96021    0.9689104544   -0.2474116639
0.96022    0.9689259978   -0.2473507849
0.96023    0.9689415374    -0.247289905
0.96024    0.9689570732   -0.2472290241
0.96025    0.9689726051   -0.2471681423
0.96026    0.9689881333   -0.2471072595
0.96027    0.9690036575   -0.2470463756
0.96028     0.969019178   -0.2469854909
0.96029    0.9690346947   -0.2469246051
0.9603    0.9690502075   -0.2468637184
0.96031    0.9690657165   -0.2468028307
0.96032    0.9690812216    -0.246741942
0.96033     0.969096723   -0.2466810523
0.96034    0.9691122205   -0.2466201617
0.96035    0.9691277142   -0.2465592701
0.96036     0.969143204   -0.2464983775
0.96037    0.9691586901    -0.246437484
0.96038    0.9691741723   -0.2463765894
0.96039    0.9691896507   -0.2463156939
0.9604    0.9692051252   -0.2462547975
0.96041     0.969220596      -0.2461939
0.96042    0.9692360629   -0.2461330016
0.96043     0.969251526   -0.2460721022
0.96044    0.9692669852   -0.2460112019
0.96045    0.9692824406   -0.2459503006
0.96046    0.9692978922   -0.2458893983
0.96047      0.96931334    -0.245828495
0.96048     0.969328784   -0.2457675908
0.96049    0.9693442241   -0.2457066855
0.9605    0.9693596604   -0.2456457794
0.96051    0.9693750928   -0.2455848722
0.96052    0.9693905215   -0.2455239641
0.96053    0.9694059463    -0.245463055
0.96054    0.9694213673    -0.245402145
0.96055    0.9694367844   -0.2453412339
0.96056    0.9694521978   -0.2452803219
0.96057    0.9694676073    -0.245219409
0.96058    0.9694830129    -0.245158495
0.96059    0.9694984148   -0.2450975801
0.9606    0.9695138128   -0.2450366643
0.96061     0.969529207   -0.2449757474
0.96062    0.9695445974   -0.2449148296
0.96063    0.9695599839   -0.2448539109
0.96064    0.9695753666   -0.2447929911
0.96065    0.9695907455   -0.2447320704
0.96066    0.9696061206   -0.2446711488
0.96067    0.9696214918   -0.2446102261
0.96068    0.9696368592   -0.2445493026
0.96069    0.9696522228    -0.244488378
0.9607    0.9696675825   -0.2444274525
0.96071    0.9696829384    -0.244366526
0.96072    0.9696982905   -0.2443055985
0.96073    0.9697136388   -0.2442446701
0.96074    0.9697289832   -0.2441837407
0.96075    0.9697443238   -0.2441228103
0.96076    0.9697596606    -0.244061879
0.96077    0.9697749935   -0.2440009468
0.96078    0.9697903226   -0.2439400135
0.96079    0.9698056479   -0.2438790793
0.9608    0.9698209694   -0.2438181441
0.96081     0.969836287    -0.243757208
0.96082    0.9698516008   -0.2436962709
0.96083    0.9698669108   -0.2436353329
0.96084    0.9698822169   -0.2435743938
0.96085    0.9698975192   -0.2435134539
0.96086    0.9699128177   -0.2434525129
0.96087    0.9699281124    -0.243391571
0.96088    0.9699434032   -0.2433306282
0.96089    0.9699586902   -0.2432696843
0.9609    0.9699739734   -0.2432087396
0.96091    0.9699892527   -0.2431477938
0.96092    0.9700045282   -0.2430868471
0.96093    0.9700197999   -0.2430258995
0.96094    0.9700350678   -0.2429649508
0.96095    0.9700503318   -0.2429040013
0.96096     0.970065592   -0.2428430507
0.96097    0.9700808484   -0.2427820992
0.96098    0.9700961009   -0.2427211468
0.96099    0.9701113496   -0.2426601933
0.961    0.9701265945    -0.242599239
0.96101    0.9701418355   -0.2425382836
0.96102    0.9701570727   -0.2424773274
0.96103    0.9701723061   -0.2424163701
0.96104    0.9701875357   -0.2423554119
0.96105    0.9702027614   -0.2422944528
0.96106    0.9702179833   -0.2422334926
0.96107    0.9702332014   -0.2421725316
0.96108    0.9702484156   -0.2421115695
0.96109     0.970263626   -0.2420506066
0.9611    0.9702788326   -0.2419896426
0.96111    0.9702940353   -0.2419286777
0.96112    0.9703092342   -0.2418677119
0.96113    0.9703244293   -0.2418067451
0.96114    0.9703396206   -0.2417457773
0.96115     0.970354808   -0.2416848086
0.96116    0.9703699916   -0.2416238389
0.96117    0.9703851713   -0.2415628683
0.96118    0.9704003472   -0.2415018967
0.96119    0.9704155193   -0.2414409242
0.9612    0.9704306876   -0.2413799507
0.96121     0.970445852   -0.2413189763
0.96122    0.9704610126   -0.2412580009
0.96123    0.9704761694   -0.2411970246
0.96124    0.9704913224   -0.2411360473
0.96125    0.9705064715    -0.241075069
0.96126    0.9705216167   -0.2410140898
0.96127    0.9705367582   -0.2409531097
0.96128    0.9705518958   -0.2408921286
0.96129    0.9705670296   -0.2408311465
0.9613    0.9705821595   -0.2407701635
0.96131    0.9705972857   -0.2407091796
0.96132    0.9706124079   -0.2406481947
0.96133    0.9706275264   -0.2405872088
0.96134     0.970642641    -0.240526222
0.96135    0.9706577518   -0.2404652343
0.96136    0.9706728588   -0.2404042456
0.96137    0.9706879619   -0.2403432559
0.96138    0.9707030612   -0.2402822653
0.96139    0.9707181567   -0.2402212738
0.9614    0.9707332483   -0.2401602813
0.96141    0.9707483361   -0.2400992878
0.96142    0.9707634201   -0.2400382934
0.96143    0.9707785002   -0.2399772981
0.96144    0.9707935765   -0.2399163018
0.96145     0.970808649   -0.2398553046
0.96146    0.9708237176   -0.2397943064
0.96147    0.9708387824   -0.2397333073
0.96148    0.9708538434   -0.2396723072
0.96149    0.9708689005   -0.2396113062
0.9615    0.9708839538   -0.2395503042
0.96151    0.9708990033   -0.2394893013
0.96152    0.9709140489   -0.2394282975
0.96153    0.9709290907   -0.2393672927
0.96154    0.9709441287   -0.2393062869
0.96155    0.9709591629   -0.2392452802
0.96156    0.9709741932   -0.2391842726
0.96157    0.9709892196    -0.239123264
0.96158    0.9710042423   -0.2390622545
0.96159    0.9710192611    -0.239001244
0.9616    0.9710342761   -0.2389402326
0.96161    0.9710492872   -0.2388792202
0.96162    0.9710642945   -0.2388182069
0.96163     0.971079298   -0.2387571927
0.96164    0.9710942976   -0.2386961775
0.96165    0.9711092934   -0.2386351614
0.96166    0.9711242854   -0.2385741443
0.96167    0.9711392735   -0.2385131263
0.96168    0.9711542579   -0.2384521074
0.96169    0.9711692383   -0.2383910875
0.9617     0.971184215   -0.2383300666
0.96171    0.9711991878   -0.2382690449
0.96172    0.9712141567   -0.2382080222
0.96173    0.9712291219   -0.2381469985
0.96174    0.9712440832   -0.2380859739
0.96175    0.9712590406   -0.2380249484
0.96176    0.9712739943   -0.2379639219
0.96177    0.9712889441   -0.2379028945
0.96178      0.97130389   -0.2378418661
0.96179    0.9713188322   -0.2377808368
0.9618    0.9713337704   -0.2377198066
0.96181    0.9713487049   -0.2376587754
0.96182    0.9713636355   -0.2375977433
0.96183    0.9713785623   -0.2375367103
0.96184    0.9713934853   -0.2374756763
0.96185    0.9714084044   -0.2374146414
0.96186    0.9714233197   -0.2373536055
0.96187    0.9714382311   -0.2372925687
0.96188    0.9714531387    -0.237231531
0.96189    0.9714680425   -0.2371704923
0.9619    0.9714829425   -0.2371094527
0.96191    0.9714978386   -0.2370484122
0.96192    0.9715127308   -0.2369873707
0.96193    0.9715276193   -0.2369263283
0.96194    0.9715425039   -0.2368652849
0.96195    0.9715573847   -0.2368042406
0.96196    0.9715722616   -0.2367431954
0.96197    0.9715871347   -0.2366821493
0.96198    0.9716020039   -0.2366211022
0.96199    0.9716168694   -0.2365600542
0.962     0.971631731   -0.2364990052
0.96201    0.9716465887   -0.2364379553
0.96202    0.9716614426   -0.2363769045
0.96203    0.9716762927   -0.2363158527
0.96204    0.9716911389   -0.2362548001
0.96205    0.9717059814   -0.2361937464
0.96206    0.9717208199   -0.2361326919
0.96207    0.9717356547   -0.2360716364
0.96208    0.9717504856     -0.23601058
0.96209    0.9717653126   -0.2359495226
0.9621    0.9717801359   -0.2358884643
0.96211    0.9717949552   -0.2358274051
0.96212    0.9718097708    -0.235766345
0.96213    0.9718245825   -0.2357052839
0.96214    0.9718393904   -0.2356442219
0.96215    0.9718541944    -0.235583159
0.96216    0.9718689947   -0.2355220951
0.96217     0.971883791   -0.2354610303
0.96218    0.9718985836   -0.2353999646
0.96219    0.9719133723   -0.2353388979
0.9622    0.9719281571   -0.2352778304
0.96221    0.9719429381   -0.2352167618
0.96222    0.9719577153   -0.2351556924
0.96223    0.9719724887    -0.235094622
0.96224    0.9719872582   -0.2350335507
0.96225    0.9720020239   -0.2349724785
0.96226    0.9720167857   -0.2349114054
0.96227    0.9720315437   -0.2348503313
0.96228    0.9720462979   -0.2347892563
0.96229    0.9720610482   -0.2347281803
0.9623    0.9720757947   -0.2346671035
0.96231    0.9720905373   -0.2346060257
0.96232    0.9721052761    -0.234544947
0.96233    0.9721200111   -0.2344838673
0.96234    0.9721347423   -0.2344227868
0.96235    0.9721494696   -0.2343617053
0.96236     0.972164193   -0.2343006229
0.96237    0.9721789126   -0.2342395395
0.96238    0.9721936284   -0.2341784553
0.96239    0.9722083404   -0.2341173701
0.9624    0.9722230485    -0.234056284
0.96241    0.9722377527   -0.2339951969
0.96242    0.9722524532    -0.233934109
0.96243    0.9722671498   -0.2338730201
0.96244    0.9722818425   -0.2338119303
0.96245    0.9722965314   -0.2337508395
0.96246    0.9723112165   -0.2336897479
0.96247    0.9723258978   -0.2336286553
0.96248    0.9723405752   -0.2335675618
0.96249    0.9723552487   -0.2335064674
0.9625    0.9723699185    -0.233445372
0.96251    0.9723845843   -0.2333842758
0.96252    0.9723992464   -0.2333231786
0.96253    0.9724139046   -0.2332620805
0.96254     0.972428559   -0.2332009815
0.96255    0.9724432095   -0.2331398815
0.96256    0.9724578562   -0.2330787806
0.96257     0.972472499   -0.2330176789
0.96258    0.9724871381   -0.2329565761
0.96259    0.9725017732   -0.2328954725
0.9626    0.9725164046    -0.232834368
0.96261    0.9725310321   -0.2327732625
0.96262    0.9725456557   -0.2327121561
0.96263    0.9725602755   -0.2326510488
0.96264    0.9725748915   -0.2325899406
0.96265    0.9725895036   -0.2325288314
0.96266    0.9726041119   -0.2324677214
0.96267    0.9726187164   -0.2324066104
0.96268     0.972633317   -0.2323454985
0.96269    0.9726479138   -0.2322843857
0.9627    0.9726625067    -0.232223272
0.96271    0.9726770958   -0.2321621573
0.96272    0.9726916811   -0.2321010418
0.96273    0.9727062625   -0.2320399253
0.96274    0.9727208401   -0.2319788079
0.96275    0.9727354138   -0.2319176896
0.96276    0.9727499837   -0.2318565704
0.96277    0.9727645498   -0.2317954502
0.96278     0.972779112   -0.2317343292
0.96279    0.9727936704   -0.2316732072
0.9628    0.9728082249   -0.2316120843
0.96281    0.9728227756   -0.2315509605
0.96282    0.9728373225   -0.2314898358
0.96283    0.9728518655   -0.2314287102
0.96284    0.9728664047   -0.2313675836
0.96285      0.97288094   -0.2313064562
0.96286    0.9728954715   -0.2312453278
0.96287    0.9729099991   -0.2311841985
0.96288    0.9729245229   -0.2311230683
0.96289    0.9729390429   -0.2310619372
